university,link
北林,https://vp6uagfi94.feishu.cn/docx/UnbndRSrdobuX5xjnRrcgVSIn13
华东师范大学,https://vp6uagfi94.feishu.cn/docx/WMFjdOy9sofCsJxcfzEcErAEnog
华东师大,https://vp6uagfi94.feishu.cn/docx/WMFjdOy9sofCsJxcfzEcErAEnog
华师大,https://vp6uagfi94.feishu.cn/docx/WMFjdOy9sofCsJxcfzEcErAEnog
中央财经大学,https://vp6uagfi94.feishu.cn/docx/WhAVdiNAFoNaZVxWR2Vcr021nVb
中财,https://vp6uagfi94.feishu.cn/docx/WhAVdiNAFoNaZVxWR2Vcr021nVb
中财大,https://vp6uagfi94.feishu.cn/docx/WhAVdiNAFoNaZVxWR2Vcr021nVb
央财,https://vp6uagfi94.feishu.cn/docx/WhAVdiNAFoNaZVxWR2Vcr021nVb
对外经济贸易大学,https://vp6uagfi94.feishu.cn/docx/YXzldzWqqoj0tvx107Wczkb4nGh
对外经贸,https://vp6uagfi94.feishu.cn/docx/YXzldzWqqoj0tvx107Wczkb4nGh
贸大,https://vp6uagfi94.feishu.cn/docx/YXzldzWqqoj0tvx107Wczkb4nGh
上海交通大学,https://wwvncztjgxa.feishu.cn/docx/G1xbdak4ho8N0bxLrUNcUIgEnnh
上交,https://wwvncztjgxa.feishu.cn/docx/G1xbdak4ho8N0bxLrUNcUIgEnnh
上交大,https://wwvncztjgxa.feishu.cn/docx/G1xbdak4ho8N0bxLrUNcUIgEnnh
武汉大学,https://vp6uagfi94.feishu.cn/docx/CUWJdgEOooiI2NxJvZuc8APRnTb
武大,https://vp6uagfi94.feishu.cn/docx/CUWJdgEOooiI2NxJvZuc8APRnTb
北京外国语大学,https://vp6uagfi94.feishu.cn/docx/HGipdiwZ5oeGh7xZ6uZc1hoQn9d
北外,https://vp6uagfi94.feishu.cn/docx/HGipdiwZ5oeGh7xZ6uZc1hoQn9d
南开大学,https://vp6uagfi94.feishu.cn/docx/NyC8drU2Zo7zCGx0fVYc3bA7nof
南开,https://vp6uagfi94.feishu.cn/docx/NyC8drU2Zo7zCGx0fVYc3bA7nof
北京邮电大学,https://vp6uagfi94.feishu.cn/docx/JVycdlUFxoKel0xB5lQcZfKgnBb
北邮,https://vp6uagfi94.feishu.cn/docx/JVycdlUFxoKel0xB5lQcZfKgnBb
BUPT,https://vp6uagfi94.feishu.cn/docx/JVycdlUFxoKel0xB5lQcZfKgnBb
大连理工大学,https://vp6uagfi94.feishu.cn/docx/SPWKdoO7toI5qix0xjrcLAdPnAg
大连理工,https://vp6uagfi94.feishu.cn/docx/SPWKdoO7toI5qix0xjrcLAdPnAg
香港科技大学,https://vp6uagfi94.feishu.cn/docx/UBNvduYgloC0H2x7j1FcSM4Yn8e
港科大,https://vp6uagfi94.feishu.cn/docx/UBNvduYgloC0H2x7j1FcSM4Yn8e
中国科学院大学,https://vp6uagfi94.feishu.cn/docx/I33kd4EBJolYrLxJPxwcwpAbncE
国科大,https://vp6uagfi94.feishu.cn/docx/I33kd4EBJolYrLxJPxwcwpAbncE
中国传媒大学,https://vp6uagfi94.feishu.cn/docx/NbwAdcQLJo5h5OxD0lScel5InGg
中传,https://vp6uagfi94.feishu.cn/docx/NbwAdcQLJo5h5OxD0lScel5InGg
北京航空航天大学,https://vp6uagfi94.feishu.cn/docx/Inz6dPEsDo8RbyxAR6vckqW6nHg
北航,https://vp6uagfi94.feishu.cn/docx/Inz6dPEsDo8RbyxAR6vckqW6nHg
重庆大学,https://vp6uagfi94.feishu.cn/docx/Fr8VdMMXTol6V2xKPglcC0VZnrR
重大,https://vp6uagfi94.feishu.cn/docx/Fr8VdMMXTol6V2xKPglcC0VZnrR
西南政法大学,https://vp6uagfi94.feishu.cn/docx/XsBSdpiv5oVxmBxGMXWciuwVnVb
西政,https://vp6uagfi94.feishu.cn/docx/XsBSdpiv5oVxmBxGMXWciuwVnVb
浙江大学,https://vp6uagfi94.feishu.cn/docx/Gnc1dTcG4oIZL7xxFy0ccChInEg
浙大,https://vp6uagfi94.feishu.cn/docx/Gnc1dTcG4oIZL7xxFy0ccChInEg
四川大学,https://vp6uagfi94.feishu.cn/docx/RcktdoqQVoRxFrxsRvGcAxzAn5g
川大,https://vp6uagfi94.feishu.cn/docx/RcktdoqQVoRxFrxsRvGcAxzAn5g
上海财经大学,https://vp6uagfi94.feishu.cn/docx/V1uJdpnGQo8CpMx12RIcwk6enhb
上财,https://vp6uagfi94.feishu.cn/docx/V1uJdpnGQo8CpMx12RIcwk6enhb
北京大学医学部,https://vp6uagfi94.feishu.cn/docx/AubodZpZjoZNKexxTBtc4nxOn4e
北医,https://vp6uagfi94.feishu.cn/docx/AubodZpZjoZNKexxTBtc4nxOn4e
北医大,https://vp6uagfi94.feishu.cn/docx/AubodZpZjoZNKexxTBtc4nxOn4e
北医医学部,https://vp6uagfi94.feishu.cn/docx/AubodZpZjoZNKexxTBtc4nxOn4e
北京师范大学,https://vp6uagfi94.feishu.cn/docx/NXyFdrgOEou99Ixu1xpc0wk0nxg
北师大,https://vp6uagfi94.feishu.cn/docx/NXyFdrgOEou99Ixu1xpc0wk0nxg
师大,https://vp6uagfi94.feishu.cn/docx/NXyFdrgOEou99Ixu1xpc0wk0nxg
澳门大学,https://vp6uagfi94.feishu.cn/docx/FzhQdU410oyNgnxriQKch1hcnKd
澳大,https://vp6uagfi94.feishu.cn/docx/FzhQdU410oyNgnxriQKch1hcnKd
清华大学,https://evrboc6c6rm.feishu.cn/docx/FPQfdsa17oZJy2xDE2KcsVxYnMb
清华,https://evrboc6c6rm.feishu.cn/docx/FPQfdsa17oZJy2xDE2KcsVxYnMb
北京理工大学,https://vp6uagfi94.feishu.cn/docx/FBD7dQ2QwoYxnwx3LoecPhU9nIE
北理,https://vp6uagfi94.feishu.cn/docx/FBD7dQ2QwoYxnwx3LoecPhU9nIE
北理工,https://vp6uagfi94.feishu.cn/docx/FBD7dQ2QwoYxnwx3LoecPhU9nIE
